Company,Parent Company,Location,City,County,Address,Zip,Project Description,NAICS Industry Code,Year,Subsidy Value,Megadeal Contribution,Subsidy Value Adjusted For Megadeal,Program Name,Awarding Agency,Type of Subsidy,Number of Jobs or Training Slots,Wage Data,Wage Data Type,Investment Data,Source of Data,Notes,Subsidy Source,CFDA Program Number,Loan Value,State in Which Facility Is Located,Major Industry of Parent
Solvay Paperboard,WestRock,New York,SYRACUSE,,53 Industrial Drive,13204,"Construction of a 131,000 sq. ft. recycled paper mill on the Allied Signal site.",,2009,"$6,565 ",$0 ,"$6,565 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,80,,,"$48,000,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," ""paper and packaging"""
Solvay Paperboard,WestRock,New York,SYRACUSE,,53 Industrial Drive,13204,"Issue bonds in support of a expansion of existing paperboard plant. Expansion includes construction of approximately 150,000 sq. ft. of floor space, acquisition and installation of a third paper machine and related stock preparation systems. Tax abatement and employment numbers reported with Solvay Paperboard project # 31019205A.",,2009,"$6,565 ",$0 ,"$6,565 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,80,,,"$100,000,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," ""paper and packaging"""
Solvay Paperboard,WestRock,New York,SYRACUSE,,53 Industrial Drive,13204,"Issue bonds for construction of a 150,000 sq. ft. expansion and installation of a second paper machine and related stock preparation systems. Tax abatement and employment numbers reported with Solvay Paperboard project #31019205A.",,2009,"$6,565 ",$0 ,"$6,565 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,80,,,"$125,000,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," ""paper and packaging"""
Tops Market LLC (Valley Plaza),Tops Markets,New York,SYRACUSE,,NULL,13205,"Acquisition of machinery, fixtures and equipment associated with the operation of a full service grocery store in Valley Plaza, located at 4141 South Salina St. The Company proposes to renovate a vacant 36,000 sq. ft. store that was formerly occupied by P&C Market. The Company is requesting benefits from the Agency in the form of exemptions from sales and compensating use tax.  The Company reports that 82 fulltime employment positions will be created in the first two years of operation. ",,2013,"$6,351 ",$0 ,"$6,351 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," ""retailing"""
"Butternut St., LLC",,New York,SYRACUSE,,North Townsend and Buttwnut Streets,13208,"Finance, Insurance and Real Estate",,2014,"$5,828 ",$0 ,"$5,828 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"Lowe's Home Centers, Inc.",Lowe's,New York,Syracuse,Onondaga,,,C734103 Midler City Industrial Park,,2009,"$5,226 ",$0 ,"$5,226 ",Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$43,550 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_reports.htm,subsidy value is total credit; investment amount is total costs.,state,,$0 , ," ""retailing"""
"Alexander Properties West, LLC",,New York,SYRACUSE,,307 Gifford Street,13204,Retail Trade,,2014,"$5,184 ",$0 ,"$5,184 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Housing Visions/Canal Village LLC,,New York,SYRACUSE,,"1201 East Fayette St, Suite 26",13210,Manufacturing,,2010,"$3,855 ",$0 ,"$3,855 ",Industrial Development Agencies,Oneida County Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Syracuse Rail Support/OnTrack,,New York,SYRACUSE,,Railroad,13202,Railway project from Carousel Mall to Syracuse University. Tax abatement and employment numbers reported with Syracuse Rail Support project #31019204A.,,2009,"$3,344 ",$0 ,"$3,344 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$2,000,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Syracuse Rail Support/OnTrack,,New York,SYRACUSE,,Railroad,13202,Railway project from Carousel Mall to Syracuse University.,,2009,"$3,344 ",$0 ,"$3,344 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$2,877,267 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
"LOWE'S HOME CENTERS, INC.",Lowe's,New York,Syracuse,Onondaga,,,C734103 Midler City Industrial Park,,2010,"$2,289 ",$0 ,"$2,289 ",Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$19,081 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_reports.htm,subsidy value is total credit; investment amount is total costs.,state,,$0 , ," ""retailing"""
Continental Towers Facility,,New York,SYRACUSE,,1 Lincoln center,13202,,,2007,"$2,261 ",$0 ,"$2,261 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,2500,,,"$35,250,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"432 North Franklin Properties, LLC",,New York,Syracuse,Onondaga,,,C734089 432 North Franklin Street,,2009,"$1,950 ",$0 ,"$1,950 ",Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$19,503 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_reports.htm,subsidy value is total credit; investment amount is total costs.,state,,$0 , ," """""
"ROUTE 20/20, LLC",,New York,Syracuse,Onondaga,,, C734090 1915 Erie Boulevard East (Former Carbacio Auto) ,,2007,"$1,889 ",$0 ,"$1,889 ",Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$10,496 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_reports.htm,subsidy value is amount claimed; investment amount is actual,state,,$0 , ," """""
Crucible Materials,Allegheny Technologies,New York,SYRACUSE,,575 State Fair Blvd,13209,"Construction of 35,560 sq. ft. of additional manufacturing space and machinery and equipment installations necessary to expand the particle metallurgy facility.",,2009,"$1,705 ",$0 ,"$1,705 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,,,,"$6,490,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," ""metals"""
Colt Industries,,New York,SYRACUSE,,575 State Fair Blvd,13209,Expansion and modernization conditioning facilities and installation of grinders with dust collection systems. Tax abatement and employment numbers reported with Crucible Materials project #31019702A.,,2009,"$1,705 ",$0 ,"$1,705 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$11,107,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
1045 James Street Facility,,New York,Syracuse,Onondaga,250 South Clinton Street,13202,,,2003,"$1,659 ",$0 ,"$1,659 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,379,,,"$4,500,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"Swrna Holdings, LLC",,New York,Syracuse,Onondaga,,,"C734088 American Bag and Metal Company, Inc.",,2009,"$1,616 ",$0 ,"$1,616 ",Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$16,163 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_reports.htm,subsidy value is total credit; investment amount is total costs.,state,,$0 , ," """""
"Swrna Holdings, LLC",,New York,Syracuse,Onondaga,,,C734088 American Bag and Metal,,2010,$975 ,$0 ,$975 ,Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$9,748 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_reports.htm,subsidy value is total credit; investment amount is total costs.,state,,$0 , ," """""
"Swrna Holdings, LLC",,New York,Syracuse,Onondaga,,,C734090 Carbacio Auto,,2009,$938 ,$0 ,$938 ,Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$5,210 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_reports.htm,subsidy value is total credit; investment amount is total costs.,state,,$0 , ," """""
